iter	MultiClass
0	0.9727675671
1	0.8736578972
2	0.7716492889
3	0.6967587293
4	0.6145832773
5	0.551027666
6	0.4921051321
7	0.4397768737
8	0.395096106
9	0.3518064369
10	0.3166132426
11	0.292862585
12	0.2686058142
13	0.2449520636
14	0.2260492178
15	0.2089978093
16	0.1940053711
17	0.1787049856
18	0.1664332775
19	0.1550881989
20	0.1457064157
21	0.1358881788
22	0.128485059
23	0.1225410885
24	0.1163737537
25	0.109371168
26	0.1024007646
27	0.09646398788
28	0.09030772856
29	0.0864851391
30	0.08198586175
31	0.07836341819
32	0.07581892101
33	0.07252188513
34	0.06948062373
35	0.06573319287
36	0.06218917177
37	0.05943793245
38	0.05772344253
39	0.05511560892
40	0.05343658799
41	0.05168142722
42	0.04961257928
43	0.04794814265
44	0.04612739693
45	0.04372809359
46	0.04218569073
47	0.04117597441
48	0.03987763822
49	0.03846157481
50	0.03740396335
51	0.03619799237
52	0.03490849907
53	0.03377894583
54	0.03266708031
55	0.03170870402
56	0.03094871992
57	0.03029737388
58	0.02957244304
59	0.02895388703
60	0.02833953184
61	0.02779107939
62	0.02715338006
63	0.02667434227
64	0.02611275134
65	0.02546541165
66	0.02493202542
67	0.0243321387
68	0.02389351037
69	0.0234527302
70	0.02296827113
71	0.02255500768
72	0.02208244231
73	0.0217857529
74	0.02124209658
75	0.02094473865
76	0.02063480704
77	0.02024437143
78	0.01986548635
79	0.01961141288
80	0.01922584418
81	0.01883968278
82	0.01849752543
83	0.01813279885
84	0.01789904925
85	0.01758176137
86	0.01733040497
87	0.01707238507
88	0.01686324754
89	0.01659382182
90	0.01633024775
91	0.01613541887
92	0.01583242174
93	0.01560022766
94	0.01540754445
95	0.01520291663
96	0.01497185221
97	0.01475790402
98	0.01455667993
99	0.01438868449
100	0.01426704999
101	0.01412024241
102	0.01392630503
103	0.01371522715
104	0.01353577168
105	0.01336615358
106	0.01316609701
107	0.01298870451
108	0.0128344463
109	0.01266481251
110	0.01250009831
111	0.01235420242
112	0.01218876811
113	0.01206891511
114	0.01195493237
115	0.0118332081
116	0.01169668359
117	0.01157657112
118	0.01144135568
119	0.01128471954
120	0.01115442128
121	0.01108422995
122	0.01099630419
123	0.01090436003
124	0.0107971433
125	0.01069342335
126	0.01055900492
127	0.01041034944
128	0.01026986428
129	0.0101841314
130	0.01009612615
131	0.009965550773
132	0.009875608815
133	0.009793247646
134	0.00968037633
135	0.009598095375
136	0.00951036337
137	0.009452191594
138	0.009365585498
139	0.009291410156
140	0.009217500738
141	0.009152190567
142	0.009090442552
143	0.008992504963
144	0.008926752936
145	0.008841956869
146	0.008784269141
147	0.008735020786
148	0.008660103654
149	0.008593524196
150	0.008535715668
151	0.008473824078
152	0.008424174967
153	0.008343798056
154	0.00829038454
155	0.00820110578
156	0.008155461446
157	0.008103251615
158	0.008036206102
159	0.007973731826
160	0.007905552968
161	0.007842434835
162	0.007782445264
163	0.0077218615
164	0.007669808391
165	0.007618301109
166	0.007563560099
167	0.007506262425
168	0.007462360474
169	0.007406854323
170	0.007355961453
171	0.00730886586
172	0.007262061009
173	0.007213983725
174	0.007168091398
175	0.007114967475
176	0.007063239311
177	0.00701799465
178	0.006953498981
179	0.006912780482
180	0.006865996881
181	0.006827216751
182	0.006794818161
183	0.006740615338
184	0.006702206086
185	0.006642981193
186	0.006612015648
187	0.006563922056
188	0.006525062399
189	0.006493038983
190	0.006452103855
191	0.006417222604
192	0.006382498441
193	0.006333229291
194	0.006294812328
195	0.006268953729
196	0.006238174643
197	0.006203539779
198	0.006176767113
199	0.006146232603
200	0.006111357424
201	0.00607830322
202	0.006051748837
203	0.006028720267
204	0.005990082133
205	0.005953657677
206	0.00592742526
207	0.005899179589
208	0.005873517468
209	0.005843445893
210	0.005798688553
211	0.005774077939
212	0.005747091269
213	0.005720529408
214	0.005695009595
215	0.005665991573
216	0.00563565008
217	0.005593474013
218	0.005565691938
219	0.005538381999
220	0.005509269535
221	0.005479201248
222	0.005454962933
223	0.005434687317
224	0.005404737221
225	0.005369946998
226	0.005340209744
227	0.005312134499
228	0.005284072212
229	0.005259712899
230	0.005232066089
231	0.005206521555
232	0.00518388059
233	0.005159927968
234	0.005134973254
235	0.005116991326
236	0.005091073447
237	0.005071610354
238	0.005048176944
239	0.005031415854
240	0.005009327231
241	0.004990523386
242	0.004967023843
243	0.004937216646
244	0.004903530163
245	0.004879011962
246	0.004864025962
247	0.004832580747
248	0.004810594729
249	0.004785405585
250	0.004767994004
251	0.004745892006
252	0.004725155472
253	0.00470961851
254	0.004680178125
255	0.004663828218
256	0.004637967776
257	0.004622027319
258	0.004602464024
259	0.004584127269
260	0.004569720568
261	0.004546119592
262	0.004525068635
263	0.004505879244
264	0.004488635781
265	0.004468409927
266	0.004450889329
267	0.004433949299
268	0.004416459837
269	0.004392842638
270	0.004377609257
271	0.004362957508
272	0.004345423085
273	0.004334260445
274	0.004321252609
275	0.00430108945
276	0.004280674248
277	0.004264619066
278	0.004249022457
279	0.004232945609
280	0.004216733169
281	0.004198641329
282	0.004185184465
283	0.00417094072
284	0.004158180342
285	0.004136153245
286	0.004120855155
287	0.00410566061
288	0.004090220993
289	0.004078161538
290	0.004063334271
291	0.00405088745
292	0.004037599996
293	0.004016004212
294	0.004000051611
295	0.003984227807
296	0.003974111695
297	0.003957210223
298	0.003941415973
299	0.003928466806
300	0.003913242174
301	0.003898759406
302	0.003884668112
303	0.003872441962
304	0.003854976609
305	0.003843637302
306	0.003830187222
307	0.003817051962
308	0.003806207923
309	0.003794767654
310	0.003784206107
311	0.00376527747
312	0.003752153318
313	0.003741768632
314	0.003728986478
315	0.003716975433
316	0.003705699302
317	0.003693016383
318	0.00368109891
319	0.0036695084
320	0.003654690954
321	0.003642176062
322	0.003623663897
323	0.003612468233
324	0.003600875375
